@RELATION hand

@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE class {open, closed, claw}

(53.3057, 206.828, 48.0208),(42.9156, 211.35, 7.32157),(44.6758, 188.883, -1.49413),(50.7713, 177.05, 10.3896), closed
(68.5406, 209.422, 46.6493),(60.1791, 211.467, 5.70285),(56.5359, 185.3, -2.12437),(58.6675, 171.315, 12.6812), closed
(84.0967, 207.85, 46.6134),(79.8307, 210.104, 8.56489),(73.6318, 186.107, 0.803008),(72.7907, 172.05, 15.1291), closed
(98.3586, 201.09, 45.1437),(96.7371, 207.153, 12.1563),(88.9313, 190.687, 4.64611),(87.297, 179.671, 15.9769), closed
(54.4953, 168.931, 70.8575),(42.3305, 174.956, 52.7562),(28.3777, 184.14, 19.6329),(30.3978, 188.269, -5.24239), closed
(52.7601, 206.799, 48.2483),(42.3222, 211.375, 7.57012),(44.195, 188.939, -1.30559),(50.3599, 177.105, 10.5416), closed
(67.9804, 209.476, 46.8747),(59.5864, 211.563, 5.96343),(56.0795, 185.379, -1.90257),(58.2942, 171.365, 12.8678), closed
(83.5444, 207.985, 46.8249),(79.2471, 210.223, 8.87484),(73.1559, 186.145, 1.18159),(72.3608, 172.075, 15.5129), closed
(97.8404, 201.303, 45.3281),(96.1535, 207.372, 12.4221),(88.4254, 190.824, 4.96219),(86.865, 179.783, 16.2909), closed
(54.2725, 168.93, 71.2212),(42.0015, 174.933, 53.1844),(27.8855, 184.164, 20.1472),(29.8247, 188.458, -4.70587), closed
(52.1164, 206.912, 48.8408),(41.6415, 211.499, 8.31522),(43.8031, 189.048, -0.529531),(50.1068, 177.25, 11.3), closed
(67.3064, 209.754, 47.4637),(58.8386, 211.984, 6.59056),(55.5945, 185.799, -1.41056),(57.9739, 171.72, 13.2742), closed
(82.8849, 208.424, 47.3851),(78.5197, 210.71, 9.57874),(72.657, 186.532, 1.9494),(71.9904, 172.442, 16.2851), closed
(97.247, 201.899, 45.8301),(95.4496, 208.124, 12.9826),(87.8777, 191.517, 5.4502),(86.4394, 180.378, 16.7049), closed
(54.2327, 168.92, 71.4346),(41.9083, 174.924, 53.4349),(27.7118, 184.185, 20.4443),(29.6198, 188.54, -4.39738), closed
(51.9349, 206.947, 49.1462),(41.4267, 211.558, 8.67686),(43.6718, 189.106, -0.171722),(50.0234, 177.31, 11.641), closed
(67.1145, 209.84, 47.7611),(58.6021, 212.127, 6.91515),(55.4355, 185.938, -1.12883),(57.8738, 171.83, 13.5215), closed
(82.6971, 208.56, 47.6643),(78.2911, 210.858, 9.9271),(72.4942, 186.646, 2.35228),(71.872, 172.572, 16.7125), closed
(97.0782, 202.084, 46.08),(95.2092, 208.252, 13.3577),(87.6768, 191.531, 5.94233),(86.2956, 180.377, 17.2103), closed
(54.1816, 168.916, 71.6337),(41.7952, 174.935, 53.6814),(27.509, 184.243, 20.7485),(29.388, 188.659, -4.07981), closed
(51.7665, 206.987, 49.4319),(41.2322, 211.621, 9.01914),(43.5495, 189.163, 0.172666),(49.941, 177.369, 11.9717), closed
(66.9374, 209.922, 48.0398),(58.3857, 212.26, 7.22402),(55.2827, 186.066, -0.854846),(57.7703, 171.93, 13.7634), closed
(82.5231, 208.682, 47.9264),(78.0831, 210.993, 10.2535),(72.3351, 186.755, 2.73295),(71.7385, 172.704, 17.1221), closed
